burial,sex,total.no.teeth,no.molars,no.premolars,no.anterior,n.molars.caries,n.premolars.caries,n.anterior.caries,molars.leh,premolars.leh,anterior.leh,total.leh,n.teeth.calculus,molars.calculus,premolars.calculus,anterior.calculus,total.calculus,molars.attrition,premolars.attrition,anterior.attrition,total.attrition,molar.att.n.molars,no.molars.1,site
S50,NA,5,4,1,0,1,0,NA,1,0,NA,1,NA,0,0,NA,0,64,2,NA,66,16,4,Nagabaka
S33,NA,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Nagabaka
Kanjin 2-8,M,4,0,0,4,NA,NA,0,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,15,15,NA,0,Yatchi
2-2,M,15,6,3,6,0,0,0,1,0,2,3,12,6,1,5,12,92,6,34,132,15.33,6,Yatchi
11-15,M,9,3,3,3,0,0,1,2,0,1,3,9,3,3,3,9,38,7,6,51,12.66,3,Yatchi
7 -2,M,10,4,4,2,0,0,0,4,0,1,5,10,4,4,2,10,52,12,8,72,13,4,Yatchi
11-29,M,5,0,2,3,NA,0,0,NA,0,1,1,NA,NA,NA,NA,NA,NA,4,10,14,NA,0,Yatchi
11-3,M,8,1,4,3,0,0,0,1,2,3,6,1,0,0,1,1,12,6,6,24,12,1,Yatchi
2-5,M,4,0,1,3,NA,1,1,NA,0,1,1,1,NA,NA,1,1,NA,NA,10,10,NA,0,Yatchi
9-14,M,3,0,0,3,NA,NA,3,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,16,16,NA,0,Yatchi
